Open,High,Low,Close,Adj Close,Volume
140.0,140.92999267578125,137.5,139.58999633789062,131.38600158691406,1403400
139.1199951171875,142.99000549316406,135.1699981689453,135.47999572753906,127.5175552368164,1847900
137.32000732421875,138.3800048828125,133.47999572753906,135.05999755859375,127.1222152709961,1650800
137.30999755859375,138.1699981689453,132.92999267578125,136.9499969482422,128.90115356445312,1877300
136.3800048828125,142.38999938964844,136.3800048828125,141.99000549316406,133.64495849609375,2257300
138.94000244140625,139.1699981689453,133.5399932861328,135.11000061035156,127.1692886352539,2391300
137.27000427246094,142.08999633789062,137.27000427246094,139.17999267578125,131.00009155273438,1659800
141.3000030517578,142.77999877929688,138.67999267578125,140.33999633789062,132.0919189453125,1626000
139.00999450683594,140.9199981689453,137.64999389648438,138.44000244140625,130.3035888671875,1589200
139.5800018310547,141.0500030517578,137.4199981689453,140.0,131.77188110351562,1716300
138.9499969482422,140.5800018310547,137.02000427246094,137.9199981689453,129.8141326904297,1950700
139.0399932861328,142.16000366210938,137.4499969482422,141.89999389648438,133.5602264404297,1882600
143.6199951171875,145.97000122070312,136.69000244140625,137.35000610351562,129.27764892578125,2427300
136.77000427246094,137.47000122070312,129.57000732421875,130.10000610351562,122.45375061035156,2228000
125.25,126.87999725341797,119.76000213623047,125.81999969482422,118.42528533935547,2901100
125.38999938964844,129.5500030517578,124.73999786376953,125.38999938964844,118.02055358886719,1587200
126.48999786376953,128.07000732421875,121.5999984741211,126.63999938964844,119.19709014892578,1549900
127.91999816894531,131.5399932861328,123.23999786376953,129.47000122070312,121.86077117919922,1896300
129.85000610351562,132.0500030517578,125.30999755859375,126.2300033569336,118.81119537353516,1748800
124.0,127.63999938964844,122.55000305175781,127.5,120.00654602050781,2298000
133.8699951171875,136.7899932861328,128.35000610351562,136.11000061035156,128.11053466796875,3555100
140.25,142.86000061035156,136.5500030517578,142.49000549316406,134.11557006835938,2581900
143.60000610351562,144.94000244140625,135.47999572753906,138.58999633789062,130.44476318359375,2854100
141.47999572753906,143.60000610351562,137.60000610351562,142.92999267578125,134.52969360351562,2732200
138.60000610351562,139.47999572753906,127.91000366210938,129.49000549316406,121.87960052490234,3314700
132.6199951171875,135.74000549316406,125.0,129.83999633789062,122.20902252197266,3144900
129.0800018310547,133.1300048828125,125.0,125.2699966430664,120.74393463134766,2705600
123.5,127.68000030517578,121.83000183105469,127.04000091552734,122.44998931884766,3362800
129.86000061035156,135.77999877929688,129.75999450683594,133.42999267578125,128.60911560058594,2781600
133.08999633789062,135.1300048828125,131.1199951171875,131.3000030517578,126.55607604980469,3959200
133.86000061035156,133.86000061035156,129.47000122070312,131.4499969482422,126.70065307617188,2993400
132.10000610351562,132.25,126.4000015258789,128.36000061035156,123.72229766845703,3284800
124.81999969482422,132.1300048828125,124.69000244140625,129.82000732421875,125.12955474853516,2942600
130.75,133.92999267578125,127.19999694824219,130.27999877929688,125.57292938232422,3060100
131.5,136.22000122070312,129.82000732421875,136.11000061035156,131.19229125976562,3308000
135.07000732421875,136.6199951171875,131.77999877929688,135.77999877929688,130.87420654296875,2542900
137.86000061035156,142.63999938964844,137.2100067138672,141.75,136.62850952148438,3404000
143.77999877929688,147.92999267578125,143.3000030517578,146.42999267578125,141.139404296875,3329200
146.02000427246094,153.07000732421875,145.4600067138672,152.66000366210938,147.14431762695312,3007600
157.00999450683594,159.69000244140625,150.61000061035156,152.02000427246094,146.52745056152344,5259000
154.0,156.38999938964844,150.88999938964844,152.88999938964844,147.3660125732422,3194600
151.35000610351562,155.6999969482422,149.25,153.89999389648438,148.3395233154297,2084900
153.66000366210938,155.72000122070312,153.0500030517578,154.66000366210938,149.0720672607422,1787700
155.75999450683594,156.86000061035156,153.25,155.80999755859375,150.18051147460938,1561900
154.72999572753906,161.05999755859375,154.44000244140625,160.39999389648438,154.6046600341797,2588100
161.5399932861328,162.24000549316406,158.82000732421875,160.30999755859375,154.51791381835938,2131500
159.6699981689453,161.24000549316406,157.6699981689453,157.8300018310547,152.12753295898438,2012400
155.2100067138672,158.0399932861328,152.88999938964844,155.49000549316406,149.8720703125,2074600
149.49000549316406,150.4600067138672,142.14999389648438,147.8000030517578,142.4599151611328,3571800
151.77999877929688,154.27999877929688,147.22999572753906,149.6300048828125,144.22381591796875,2928600
148.91000366210938,151.0,144.1199951171875,146.75999450683594,141.45748901367188,3256400
141.6699981689453,143.6699981689453,132.60000610351562,133.67999267578125,128.85006713867188,4887500
132.11000061035156,133.25,119.55999755859375,122.29000091552734,117.8716049194336,9385900
127.25,133.39999389648438,127.0,132.27999877929688,127.50065612792969,4853800
123.5,129.00999450683594,122.30999755859375,126.0999984741211,121.5439453125,4888000
127.0,128.33999633789062,117.37000274658203,119.23999786376953,114.93180084228516,4647300
121.55000305175781,125.80999755859375,118.05000305175781,119.69999694824219,115.37518310546875,8195200
121.0,125.91000366210938,119.83000183105469,124.38999938964844,119.8957290649414,3281100
128.75,131.42999267578125,125.80000305175781,129.8000030517578,125.11027526855469,3428400
131.17999267578125,132.6199951171875,122.08000183105469,122.30999755859375,117.89088439941406,3422600
119.2300033569336,123.9800033569336,118.56999969482422,121.1500015258789,116.7728042602539,2875400
121.83999633789062,123.05000305175781,116.13999938964844,121.20999908447266,116.83062744140625,2392300
117.25,118.1500015258789,111.02999877929688,114.13999938964844,110.01607513427734,4823400
112.33000183105469,114.91000366210938,106.25,110.27999877929688,106.29553985595703,4696800
114.12999725341797,117.9000015258789,114.12999725341797,116.30000305175781,112.09803009033203,3716200
