Open,High,Low,Close,Adj Close,Volume
181.80999755859375,182.0399932861328,175.8000030517578,177.1300048828125,175.52206420898438,1908300
177.05999755859375,177.75,171.41000366210938,173.0800018310547,171.5088348388672,1912000
170.3699951171875,172.1300048828125,165.41000366210938,170.7100067138672,169.1603546142578,2085800
171.9600067138672,173.27999877929688,166.80999755859375,172.58999633789062,171.0232696533203,1736900
170.33999633789062,174.72999572753906,167.38999938964844,173.17999267578125,171.60789489746094,1683300
172.92999267578125,174.47999572753906,168.64999389648438,170.6999969482422,169.15040588378906,916900
171.4499969482422,174.0,166.99000549316406,168.22999572753906,166.70281982421875,1084500
172.35000610351562,172.8699951171875,168.94000244140625,171.97999572753906,170.41879272460938,1111400
171.8300018310547,173.88999938964844,170.6699981689453,172.00999450683594,170.44851684570312,1092400
171.77000427246094,174.80999755859375,168.57000732421875,171.4499969482422,169.89361572265625,1769100
172.11000061035156,174.69000244140625,168.0399932861328,173.8800048828125,172.3015594482422,2070700
174.94000244140625,176.57000732421875,172.4199981689453,172.55999755859375,170.99354553222656,1083600
173.82000732421875,174.67999267578125,170.02000427246094,171.33999633789062,169.78460693359375,907100
171.0500030517578,171.08999633789062,168.25999450683594,169.35000610351562,167.81268310546875,738100
169.0800018310547,174.80999755859375,167.77000427246094,174.0500030517578,172.4700164794922,972500
174.97999572753906,176.60000610351562,171.0800018310547,172.00999450683594,170.44851684570312,1242700
171.52999877929688,174.3000030517578,170.5,171.8000030517578,170.2404327392578,662200
173.0,174.8800048828125,171.2899932861328,174.58999633789062,173.00511169433594,932200
174.1699981689453,176.77000427246094,170.57000732421875,170.85000610351562,169.29905700683594,792200
171.82000732421875,172.5399932861328,166.6999969482422,170.1300048828125,168.58560180664062,1082400
170.47999572753906,173.10000610351562,169.0800018310547,172.6999969482422,171.1322479248047,649000
172.57000732421875,178.63999938964844,172.57000732421875,178.42999267578125,176.81024169921875,816900
176.14999389648438,178.22999572753906,174.3300018310547,175.6699981689453,174.07530212402344,914800
175.3800048828125,177.25999450683594,170.52000427246094,175.7899932861328,174.1942138671875,662000
173.72000122070312,176.6999969482422,172.08999633789062,172.5,170.93408203125,634700
174.22999572753906,175.63999938964844,167.8699951171875,172.13999938964844,170.5773468017578,803700
172.13999938964844,174.02000427246094,169.05999755859375,169.60000610351562,168.06040954589844,786300
168.97000122070312,172.83999633789062,167.67999267578125,172.6300048828125,171.46730041503906,1115300
173.33999633789062,180.14999389648438,173.14999389648438,176.44000244140625,175.25164794921875,906600
176.05999755859375,176.05999755859375,172.16000366210938,173.47999572753906,172.3115692138672,458600
177.0800018310547,178.99000549316406,175.0399932861328,178.97000122070312,177.76461791992188,525300
176.75,177.9600067138672,160.4600067138672,162.85000610351562,161.753173828125,1886500
162.2899932861328,164.0800018310547,156.92999267578125,160.6199951171875,159.53819274902344,1397400
162.35000610351562,164.47000122070312,158.02999877929688,164.3800048828125,163.27288818359375,1060800
165.35000610351562,167.36000061035156,164.42999267578125,165.9199981689453,164.80250549316406,498500
164.36000061035156,164.75,159.4600067138672,161.94000244140625,160.84930419921875,1102400
161.8000030517578,168.61000061035156,161.5,167.1999969482422,166.07386779785156,816300
168.63999938964844,173.9199981689453,168.14999389648438,173.17999267578125,172.0135955810547,820600
173.66000366210938,175.52000427246094,171.97999572753906,174.86000061035156,173.68228149414062,449400
173.92999267578125,174.1199951171875,169.94000244140625,172.5800018310547,171.4176483154297,1515100
173.41000366210938,175.0800018310547,171.64999389648438,172.91000366210938,171.7454071044922,890600
173.36000061035156,177.72000122070312,173.36000061035156,177.41000366210938,176.21511840820312,524700
175.77000427246094,180.60000610351562,175.1699981689453,179.39999389648438,178.19171142578125,539200
179.58999633789062,181.69000244140625,178.60000610351562,181.07000732421875,179.8504638671875,482800
178.25999450683594,180.0,175.1199951171875,176.57000732421875,175.3807830810547,753600
175.14999389648438,175.25,167.33999633789062,168.8000030517578,167.66310119628906,1051000
167.9499969482422,170.08999633789062,166.02000427246094,166.05999755859375,164.94154357910156,833100
164.64999389648438,166.66000366210938,162.25999450683594,163.72999572753906,162.6272430419922,729900
160.3000030517578,162.60000610351562,158.30999755859375,160.4199981689453,159.3395538330078,676300
161.67999267578125,164.3699951171875,159.4199981689453,161.4199981689453,160.33279418945312,541800
162.72000122070312,164.82000732421875,160.0,161.52000427246094,160.43214416503906,646400
158.38999938964844,158.75999450683594,155.3699951171875,156.55999755859375,155.5055389404297,695000
157.77000427246094,158.1300048828125,153.9199981689453,154.8800048828125,153.83685302734375,968300
157.3000030517578,160.66000366210938,156.16000366210938,158.72999572753906,157.66091918945312,543200
157.4199981689453,157.97999572753906,154.1999969482422,155.52999877929688,154.48248291015625,578600
156.5500030517578,157.9499969482422,155.0800018310547,157.5,156.43919372558594,567600
158.27999877929688,164.7100067138672,158.10000610351562,162.14999389648438,161.05787658691406,1030400
163.00999450683594,164.6300048828125,161.42999267578125,162.16000366210938,161.0678253173828,530900
161.72000122070312,164.3800048828125,157.32000732421875,157.64999389648438,156.5881805419922,438900
157.86000061035156,158.6300048828125,154.52000427246094,157.3000030517578,156.2405548095703,383700
156.38999938964844,158.38999938964844,154.0399932861328,157.47000122070312,156.40940856933594,580600
157.38999938964844,160.1699981689453,156.07000732421875,159.8699951171875,158.79324340820312,623000
158.72000122070312,159.9499969482422,156.80999755859375,159.72000122070312,158.64425659179688,587300
160.50999450683594,162.35000610351562,158.27000427246094,161.58999633789062,160.5016632080078,657200
162.61000061035156,166.97000122070312,161.91000366210938,166.1999969482422,165.0806121826172,639600
